title,date,views,replies
"March 7, 2012","Wed Mar 07, 2012 3:31 am",7027,75
"February 29, 2012","Wed Feb 29, 2012 5:46 pm",10125,130
"February 22nd, 2012","Wed Feb 22, 2012 6:28 am",10039,118
"February 15, 2012","Wed Feb 15, 2012 5:46 pm",6525,85
"February 10, 2012","Fri Feb 10, 2012 6:01 am",7336,85
"February 8, 2012","Wed Feb 08, 2012 6:10 am",10667,173
"February 1st, 2012","Thu Feb 02, 2012 11:28 am",8575,103
"January 25, 2012","Wed Jan 25, 2012 5:59 am",9654,112
"January 18, 2012","Thu Jan 19, 2012 2:20 am",9199,125
"January 12, 2012","Thu Jan 12, 2012 11:12 pm",4761,47
"December 14, 2011","Thu Dec 15, 2011 2:07 am",5852,75
"17 December, 2011 [edit] my bad, move along!","Sat Dec 17, 2011 3:18 pm",835,3
"December 8,2011","Thu Dec 08, 2011 6:15 pm",5828,74
"November 30, 2011","Wed Nov 30, 2011 3:09 pm",4934,84
"Friday, November 25, 2011","Fri Nov 25, 2011 11:46 pm",5915,82
D,"Thu Nov 17, 2011 7:00 am",5323,68
"Thursday, November 10, 2011","Thu Nov 10, 2011 8:12 am",4394,50
"November 3rd, 2011","Thu Nov 03, 2011 8:36 am",6054,70
"Thursday, October 27 2011","Thu Oct 27, 2011 2:12 pm",6245,47
october 19 2011,"Wed Oct 19, 2011 10:05 am",4786,47
october 17 2011,"Mon Oct 17, 2011 10:41 am",5128,61
9/21/2011,"Thu Sep 22, 2011 3:06 am",4711,33
september 14 2011,"Wed Sep 14, 2011 3:58 pm",6948,91
07-09-2011,"Wed Sep 07, 2011 3:25 pm",10006,80
8/31/11,"Thu Sep 01, 2011 6:33 am",4129,43
24-8-11,"Wed Aug 24, 2011 10:25 am",8865,109
"august 13, 2011","Sun Aug 14, 2011 2:28 am",5599,58
July 27 2011,"Wed Jul 27, 2011 11:49 pm",7223,87
"Wednesday, 20 July 2011","Wed Jul 20, 2011 10:34 pm",5289,103
"July 13, 2011","Wed Jul 13, 2011 1:04 pm",3216,53
July 06 2011,"Wed Jul 06, 2011 7:53 am",2412,45
"July 1, 2011","Fri Jul 01, 2011 3:29 am",3026,57
June 29. 2011,"Wed Jun 29, 2011 12:42 pm",2727,55
"June 17, 2011","Fri Jun 17, 2011 11:06 pm",4037,78
"June 15, 2011","Wed Jun 15, 2011 7:07 am",1928,33
"Thursday, June 9, 2011","Fri Jun 10, 2011 4:48 am",3668,61
"Wednesday, 01st June 2011","Wed Jun 01, 2011 10:56 am",3051,61
"Wednesday, 25 May 2011","Wed May 25, 2011 7:13 am",2771,50
Wednesday May 18,"Wed May 18, 2011 9:42 am",10475,47
"Wednesday, May 4, 2011","Wed May 04, 2011 5:58 am",4919,66
"Wednesday, April 27, 2011","Wed Apr 27, 2011 8:19 pm",5394,63
"Wednesday, April 13, 2011","Wed Apr 13, 2011 7:06 pm",8083,102
"April 20, 2011","Thu Apr 21, 2011 7:09 am",6651,104
"April 11, 2011","Mon Apr 11, 2011 8:48 am",4182,52
april 6 2011,"Wed Apr 06, 2011 9:18 am",4568,65
"March 30, 2011","Wed Mar 30, 2011 9:10 am",6449,104
"March 20, 2011","Sun Mar 20, 2011 7:17 am",5436,65
march 16 2011,"Wed Mar 16, 2011 8:51 am",6070,90
"March 8, 2011","Wed Mar 09, 2011 7:24 am",6173,80
"March 2, 2011","Wed Mar 02, 2011 11:00 pm",5106,65
"February 23, 2011","Thu Feb 24, 2011 12:02 am",4534,41
"February 16, 2011","Wed Feb 16, 2011 1:05 pm",6527,69
"January 26, 2011","Wed Jan 26, 2011 7:41 am",6887,59
"February 9, 2011","Wed Feb 09, 2011 2:54 pm",6735,82
"January 19, 2011","Wed Jan 19, 2011 8:16 am",8384,92
Sunday January 9,"Mon Jan 10, 2011 5:04 am",6108,61
ursday january 6th,"Fri Jan 07, 2011 5:04 am",7447,120
"Tuesday, January 4, 2011","Wed Jan 05, 2011 4:09 am",9687,157
"Wednesday, December 22nd 2010","Wed Dec 22, 2010 9:12 pm",6853,67
"Wednesday, December 15, 2010","Wed Dec 15, 2010 8:48 pm",6535,71
Dec 8 2010,"Wed Dec 08, 2010 5:19 pm",9394,125
December 1st 2010,"Thu Dec 02, 2010 1:42 am",8856,76
"November 24, 2010","Wed Nov 24, 2010 6:03 pm",6658,82
"November 11, 2010","Thu Nov 11, 2010 5:12 am",10939,125
Monday November Eigh 2010,"Mon Nov 08, 2010 4:52 am",9088,115
Friday November Six 2010,"Sat Nov 06, 2010 9:22 am",6249,90
October 28 2010,"Thu Oct 28, 2010 12:35 pm",10153,137
"Thursday, Oct. 21","Thu Oct 21, 2010 6:31 am",7407,107
"October 14, 2010","Thu Oct 14, 2010 6:48 pm",8378,121
"October 7, 2010","Thu Oct 07, 2010 4:41 pm",6356,69
"September 21st, 2010","Tue Sep 21, 2010 1:49 pm",9407,134
September 14 2010,"Wed Sep 15, 2010 5:17 am",6200,72
09-09-2010,"Thu Sep 09, 2010 5:44 pm",5840,74
September 9 2010,"Thu Sep 09, 2010 5:44 pm",913,0
September 5 2010,"Mon Sep 06, 2010 2:32 am",5216,55
September 1st 2010,"Thu Sep 02, 2010 5:47 am",4874,75
"August 25, 2010","Thu Aug 26, 2010 12:27 am",4427,63
August 18 2010,"Thu Aug 19, 2010 6:47 am",7219,127
"August 12, 2010","Thu Aug 12, 2010 2:50 pm",5330,75
"August 4, 2010","Wed Aug 04, 2010 7:49 pm",6021,88
7/30/2010,"Fri Jul 30, 2010 9:25 am",6658,81
7/22/2010,"Thu Jul 22, 2010 10:29 am",5479,78
"July 7, 2010","Thu Jul 08, 2010 2:53 am",9149,127
Wednesday June 22nd 2010,"Wed Jun 23, 2010 5:38 am",7988,113
Wednesday June 16 2010,"Wed Jun 16, 2010 11:01 pm",5113,72
Sunday June 06 2010,"Sun Jun 06, 2010 9:50 am",9159,90
"May 26, 2010","Wed May 26, 2010 9:04 am",7590,103
"May 20, 2010","Thu May 20, 2010 7:52 pm",8819,126
"May 11, 2010","Wed May 12, 2010 3:49 am",7817,123
"May 5, 2010","Wed May 05, 2010 1:38 pm",12209,214
"April 30, 2010","Fri Apr 30, 2010 11:10 pm",9682,155
"April 14, 2010","Wed Apr 14, 2010 4:41 pm",11041,226
"April 7, 2010","Wed Apr 07, 2010 5:23 am",7598,122
"March 31st, 2010","Wed Mar 31, 2010 12:13 am",9221,149
"march 17, 2010","Wed Mar 17, 2010 1:40 pm",8520,139
"March 10, 2010","Wed Mar 10, 2010 5:38 pm",12931,308
"March 3rd, 2010","Wed Mar 03, 2010 5:03 pm",19945,406
"February 24, 2010","Wed Feb 24, 2010 1:35 pm",9810,165
"February 17, 2010","Wed Feb 17, 2010 10:15 am",8144,120
"Febuary 9, 2010","Wed Feb 10, 2010 2:49 am",12722,117
"Febuary 2, 2010","Tue Feb 02, 2010 7:47 am",8815,107
"e 10th of February, 2010","Wed Feb 10, 2010 2:54 am",1178,0
January 6 2010,"Thu Jan 07, 2010 5:02 am",6201,108
30/12/09,"Wed Dec 30, 2009 11:57 am",5934,102
"December 23, 2009","Wed Dec 23, 2009 1:24 pm",8048,136
"December 17, 2009","Thu Dec 17, 2009 10:49 am",7497,114
Monday Dec-14-2009,"Mon Dec 14, 2009 12:22 pm",7912,96
"December 4, 2009","Sat Dec 05, 2009 8:04 am",12880,253
"November 30, 2009","Mon Nov 30, 2009 3:03 am",8868,225
October 16 2009,"Fri Oct 16, 2009 5:20 pm",18056,428
10/7/2009,"Wed Oct 07, 2009 5:52 pm",14215,369
"September 26, 2009","Sat Sep 26, 2009 6:49 am",13550,377
"September 19, 2009","Sat Sep 19, 2009 2:28 pm",8215,139
"Sept. 9, 2009","Fri Sep 11, 2009 9:37 am",10006,148
August 24 2009,"Mon Aug 24, 2009 4:00 pm",9147,141
"August 21st, 2009","Fri Aug 21, 2009 5:10 am",8755,86
August 19 2009,"Wed Aug 19, 2009 3:01 am",4412,56
"August 17, 2009","Mon Aug 17, 2009 8:21 am",5135,45
"August 5, 2009","Wed Aug 05, 2009 8:31 am",9844,113
"June 22, 2009","Mon Jun 22, 2009 2:36 pm",10012,141
"June 30, 2009","Tue Jun 30, 2009 10:56 am",17375,290
"June 15, 2009","Mon Jun 15, 2009 10:31 am",13840,218
"June 11, 2009.","Fri Jun 12, 2009 1:23 am",6152,77
"June 5, 2009","Sat Jun 06, 2009 6:46 am",7070,82
"May 29, 2009","Fri May 29, 2009 1:28 pm",8187,124
May 22 2009,"Sat May 23, 2009 12:14 am",7347,100
"Friday, May 15, 2009","Fri May 15, 2009 4:40 pm",9398,136
"Monday, May 11, 2009","Mon May 11, 2009 4:46 pm",6239,98
"Monday, May 4, 2009","Mon May 04, 2009 12:14 pm",11331,191
"May 1st, 2009","Fri May 01, 2009 7:30 am",5747,81
"Friday, April 24, 2009","Fri Apr 24, 2009 10:45 am",7008,83
"April 20, 2009","Mon Apr 20, 2009 3:20 am",6870,114
"Friday, April 10, 2009","Fri Apr 10, 2009 8:41 pm",7245,105
"Monday, April 6, 2009","Mon Apr 06, 2009 12:55 am",7922,99
"Monday Febuary 16, 2009","Tue Feb 17, 2009 6:29 am",5798,84
"Friday February 13, 2009","Sat Feb 14, 2009 3:06 am",8640,162
"Monday February 9, 2009","Mon Feb 09, 2009 11:03 am",10529,158
"Wednesday February 4, 2009","Tue Feb 03, 2009 11:07 pm",12513,203
Monday January 19 2009,"Mon Jan 19, 2009 7:02 am",8661,120
Friday January 23 2009,"Sat Jan 24, 2009 7:56 am",7665,111
Friday Janurary 16 2009,"Fri Jan 16, 2009 11:41 am",7105,90
January 12 2009,"Mon Jan 12, 2009 10:41 am",6054,79
"January 5, 2009","Sun Jan 04, 2009 10:48 pm",8500,111
1.2.09,"Fri Jan 02, 2009 7:54 am",8056,111
"Sunday December 28, 2008","Mon Dec 29, 2008 3:16 am",6559,70
"Saturday, 20 December 2008","Sat Dec 20, 2008 5:01 pm",10704,149
"Monday, December 15 2008","Mon Dec 15, 2008 1:28 pm",12878,191
"Friday, 12 December 2008","Fri Dec 12, 2008 3:38 am",6595,84
"Wednesday, Dec. 3rd 2008","Wed Dec 03, 2008 9:02 am",8326,104
december 3rd.,"Wed Dec 03, 2008 10:24 pm",1560,1
November 28,"Fri Nov 28, 2008 10:40 am",13965,129
November 21st,"Fri Nov 21, 2008 8:42 pm",12000,119
"Nov 13, 2008","Fri Nov 14, 2008 12:39 am",17295,149
"November 7, 2008","Fri Nov 07, 2008 10:59 am",12549,123
"October 31st, 2008","Sat Nov 01, 2008 2:41 am",19248,260
